model,temperature,reference_dataset,private_id,sample_id,n_generated_asserts,max_ngram_score,max_ngram_ref_id,leaked,leak_reason,top1_ref_id,top1_ngram,top2_ref_id,top2_ngram,top3_ref_id,top3_ngram
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_1,0,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_1,1,4,0.326087,mbpp_604,False,below_threshold,mbpp_604,0.326087,mbpp_712,0.271429,mbpp_131,0.262295
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_2,0,2,0.391304,mbpp_798,False,below_threshold,mbpp_798,0.391304,mbpp_659,0.343284,mbpp_953,0.339623
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_2,1,2,0.391304,mbpp_798,False,below_threshold,mbpp_798,0.391304,mbpp_659,0.343284,mbpp_953,0.339623
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_3,0,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_3,1,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_4,0,8,0.507042,mbpp_697,True,ngram>=0.5,mbpp_697,0.507042,mbpp_258,0.471429,mbpp_943,0.465116
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_4,1,8,0.462963,mbpp_564,False,below_threshold,mbpp_564,0.462963,mbpp_329,0.431034,mbpp_831,0.416667
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_5,0,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_5,1,6,0.365079,mbpp_22,False,below_threshold,mbpp_22,0.365079,mbpp_847,0.36,mbpp_659,0.357143
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_6,0,3,0.280488,mbpp_612,False,below_threshold,mbpp_612,0.280488,mbpp_182,0.213592,mbpp_528,0.202532
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_6,1,5,0.28,mbpp_612,False,below_threshold,mbpp_612,0.28,mbpp_125,0.222222,mbpp_152,0.222222
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_7,0,2,0.313725,mbpp_131,False,below_threshold,mbpp_131,0.313725,mbpp_11,0.263158,mbpp_776,0.258621
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_7,1,7,0.414634,mbpp_131,False,below_threshold,mbpp_131,0.414634,mbpp_11,0.314815,mbpp_776,0.306122
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_8,0,5,0.327273,mbpp_847,False,below_threshold,mbpp_847,0.327273,mbpp_893,0.318182,mbpp_1,0.309859
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_8,1,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_9,0,2,0.306122,mbpp_662,False,below_threshold,mbpp_662,0.306122,mbpp_659,0.260274,mbpp_603,0.246753
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_9,1,2,0.306122,mbpp_662,False,below_threshold,mbpp_662,0.306122,mbpp_659,0.260274,mbpp_796,0.247191
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_10,0,6,0.381818,mbpp_798,False,below_threshold,mbpp_798,0.381818,mbpp_524,0.363636,mbpp_306,0.360465
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.2,mbpp,private_10,1,8,0.44,mbpp_798,False,below_threshold,mbpp_798,0.44,mbpp_847,0.37037,mbpp_62,0.333333
