model,temperature,reference_dataset,private_id,sample_id,n_generated_asserts,max_ngram_score,max_ngram_ref_id,leaked,leak_reason,top1_ref_id,top1_ngram,top2_ref_id,top2_ngram,top3_ref_id,top3_ngram
bigcode/starcoder2-3b,0.2,mbpp,private_1,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_1,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_2,0,8,0.545455,mbpp_718,True,ngram>=0.5,mbpp_718,0.545455,mbpp_41,0.473684,mbpp_372,0.453333
bigcode/starcoder2-3b,0.2,mbpp,private_2,1,8,0.536585,mbpp_718,True,ngram>=0.5,mbpp_718,0.536585,mbpp_41,0.469136,mbpp_372,0.459459
bigcode/starcoder2-3b,0.2,mbpp,private_3,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_3,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_4,0,8,0.507042,mbpp_697,True,ngram>=0.5,mbpp_697,0.507042,mbpp_943,0.482759,mbpp_723,0.474359
bigcode/starcoder2-3b,0.2,mbpp,private_4,1,6,0.507042,mbpp_697,True,ngram>=0.5,mbpp_697,0.507042,mbpp_943,0.5,mbpp_258,0.471429
bigcode/starcoder2-3b,0.2,mbpp,private_5,0,4,0.411765,mbpp_469,False,below_threshold,mbpp_469,0.411765,mbpp_22,0.397059,mbpp_706,0.380282
bigcode/starcoder2-3b,0.2,mbpp,private_5,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_6,0,8,0.462687,mbpp_152,False,below_threshold,mbpp_152,0.462687,mbpp_847,0.367347,mbpp_612,0.367089
bigcode/starcoder2-3b,0.2,mbpp,private_6,1,6,0.56338,mbpp_152,True,ngram>=0.5,mbpp_152,0.56338,mbpp_597,0.469136,mbpp_612,0.461538
bigcode/starcoder2-3b,0.2,mbpp,private_7,0,8,0.431373,mbpp_131,False,below_threshold,mbpp_131,0.431373,mbpp_973,0.288136,mbpp_11,0.280702
bigcode/starcoder2-3b,0.2,mbpp,private_7,1,8,0.431373,mbpp_131,False,below_threshold,mbpp_131,0.431373,mbpp_973,0.288136,mbpp_11,0.280702
bigcode/starcoder2-3b,0.2,mbpp,private_8,0,8,0.363636,mbpp_183,False,below_threshold,mbpp_183,0.363636,mbpp_469,0.361111,mbpp_916,0.355263
bigcode/starcoder2-3b,0.2,mbpp,private_8,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_9,0,3,0.426357,mbpp_297,False,below_threshold,mbpp_297,0.426357,mbpp_597,0.336634,mbpp_31,0.336134
bigcode/starcoder2-3b,0.2,mbpp,private_9,1,3,0.426357,mbpp_297,False,below_threshold,mbpp_297,0.426357,mbpp_597,0.336634,mbpp_31,0.336134
bigcode/starcoder2-3b,0.2,mbpp,private_10,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_10,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_11,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_11,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_12,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_12,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_13,0,1,0.175258,mbpp_668,False,below_threshold,mbpp_668,0.175258,mbpp_507,0.170543,mbpp_631,0.155963
bigcode/starcoder2-3b,0.2,mbpp,private_13,1,4,0.196721,mbpp_668,False,below_threshold,mbpp_668,0.196721,mbpp_474,0.188406,mbpp_230,0.185714
bigcode/starcoder2-3b,0.2,mbpp,private_14,0,3,0.278689,mbpp_352,False,below_threshold,mbpp_352,0.278689,mbpp_602,0.268657,mbpp_11,0.258065
bigcode/starcoder2-3b,0.2,mbpp,private_14,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_15,0,4,0.232877,mbpp_847,False,below_threshold,mbpp_847,0.232877,mbpp_659,0.230769,mbpp_591,0.225
bigcode/starcoder2-3b,0.2,mbpp,private_15,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_16,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,mbpp,private_16,1,7,0.4,mbpp_591,False,below_threshold,mbpp_591,0.4,mbpp_798,0.395833,mbpp_487,0.394366
