model,temperature,reference_dataset,private_id,sample_id,n_generated_asserts,max_ngram_score,max_ngram_ref_id,leaked,leak_reason,top1_ref_id,top1_ngram,top2_ref_id,top2_ngram,top3_ref_id,top3_ngram
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_1,0,5,0.419355,humaneval_149,False,below_threshold,humaneval_149,0.419355,humaneval_22,0.304348,humaneval_158,0.271429
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_1,1,4,0.282609,humaneval_117,False,below_threshold,humaneval_117,0.282609,humaneval_125,0.263158,humaneval_82,0.25641
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_1,2,4,0.311475,humaneval_117,False,below_threshold,humaneval_117,0.311475,humaneval_125,0.277778,humaneval_96,0.236842
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_2,0,3,0.403846,humaneval_9,False,below_threshold,humaneval_9,0.403846,humaneval_26,0.403846,humaneval_133,0.396226
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_2,1,6,0.558442,humaneval_145,True,ngram>=0.5,humaneval_145,0.558442,humaneval_135,0.521127,humaneval_69,0.493506
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_2,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_3,0,2,0.271429,humaneval_143,False,below_threshold,humaneval_143,0.271429,humaneval_91,0.20339,humaneval_82,0.192982
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_3,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_3,2,7,0.283582,humaneval_143,False,below_threshold,humaneval_143,0.283582,humaneval_86,0.246575,humaneval_93,0.236559
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_4,0,6,0.464286,humaneval_90,False,below_threshold,humaneval_90,0.464286,humaneval_135,0.438596,humaneval_26,0.431034
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_4,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_4,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_5,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_5,1,5,0.368421,humaneval_9,False,below_threshold,humaneval_9,0.368421,humaneval_26,0.368421,humaneval_73,0.350877
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_5,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_6,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_6,1,4,0.415385,humaneval_70,False,below_threshold,humaneval_70,0.415385,humaneval_9,0.403509,humaneval_26,0.403509
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_6,2,3,0.32,humaneval_149,False,below_threshold,humaneval_149,0.32,humaneval_22,0.259259,humaneval_158,0.246914
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_7,0,5,0.148936,humaneval_24,False,below_threshold,humaneval_24,0.148936,humaneval_39,0.148936,humaneval_41,0.148936
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_7,1,4,0.166667,humaneval_24,False,below_threshold,humaneval_24,0.166667,humaneval_39,0.166667,humaneval_41,0.166667
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_7,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_8,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_8,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_8,2,5,0.310345,humaneval_41,False,below_threshold,humaneval_41,0.310345,humaneval_75,0.305556,humaneval_24,0.285714
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_9,0,6,0.27907,humaneval_70,False,below_threshold,humaneval_70,0.27907,humaneval_116,0.27907,humaneval_126,0.272727
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_9,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_9,2,6,0.268817,humaneval_129,False,below_threshold,humaneval_129,0.268817,humaneval_58,0.267857,humaneval_116,0.263158
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_10,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_10,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_10,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_11,0,5,0.19403,humaneval_91,False,below_threshold,humaneval_91,0.19403,humaneval_117,0.175676,humaneval_66,0.169231
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_11,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_11,2,4,0.180328,humaneval_66,False,below_threshold,humaneval_66,0.180328,humaneval_86,0.174603,humaneval_82,0.15873
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_12,0,4,0.392857,humaneval_70,False,below_threshold,humaneval_70,0.392857,humaneval_9,0.388889,humaneval_26,0.388889
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_12,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_12,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_13,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_13,1,2,0.2375,humaneval_125,False,below_threshold,humaneval_125,0.2375,humaneval_117,0.223684,humaneval_91,0.178082
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_13,2,4,0.33871,humaneval_125,False,below_threshold,humaneval_125,0.33871,humaneval_117,0.311475,humaneval_10,0.242424
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_14,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_14,1,7,0.235955,humaneval_125,False,below_threshold,humaneval_125,0.235955,humaneval_14,0.220339,humaneval_96,0.212766
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_14,2,4,0.252874,humaneval_125,False,below_threshold,humaneval_125,0.252874,humaneval_117,0.218391,humaneval_91,0.192771
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_15,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_15,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_15,2,6,0.227848,humaneval_149,False,below_threshold,humaneval_149,0.227848,humaneval_111,0.225806,humaneval_158,0.192771
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_16,0,8,0.290323,humaneval_24,False,below_threshold,humaneval_24,0.290323,humaneval_39,0.290323,humaneval_55,0.290323
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_16,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_16,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_17,0,4,0.353846,humaneval_26,False,below_threshold,humaneval_26,0.353846,humaneval_116,0.352941,humaneval_152,0.351351
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_17,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_17,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_18,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_18,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_18,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_19,0,5,0.253968,humaneval_91,False,below_threshold,humaneval_91,0.253968,humaneval_117,0.246377,humaneval_125,0.236111
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_19,1,3,0.235294,humaneval_91,False,below_threshold,humaneval_91,0.235294,humaneval_117,0.22973,humaneval_125,0.220779
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_19,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_20,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_20,1,6,0.277778,humaneval_92,False,below_threshold,humaneval_92,0.277778,humaneval_76,0.27451,humaneval_120,0.263158
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_20,2,8,0.270833,humaneval_97,False,below_threshold,humaneval_97,0.270833,humaneval_71,0.267857,humaneval_157,0.267857
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_21,0,7,0.3125,humaneval_149,False,below_threshold,humaneval_149,0.3125,humaneval_22,0.26087,humaneval_158,0.246377
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_21,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_21,2,4,0.375,humaneval_35,False,below_threshold,humaneval_35,0.375,humaneval_142,0.375,humaneval_133,0.363636
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_22,0,1,0.204082,humaneval_98,False,below_threshold,humaneval_98,0.204082,humaneval_134,0.192308,humaneval_78,0.176471
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_22,1,2,0.442623,humaneval_70,False,below_threshold,humaneval_70,0.442623,humaneval_9,0.433962,humaneval_26,0.433962
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_22,2,6,0.453333,humaneval_70,False,below_threshold,humaneval_70,0.453333,humaneval_145,0.372093,humaneval_126,0.371429
meta-llama/Llama-2-7b-chat-hf,0.8,humaneval,private_23,0,6,0.209677,humaneval_98,False,below_threshold,humaneval_98,0.209677,humaneval_78,0.208333,humaneval_125,0.193548
